ref_id,repository,ref_type,pr_number,branch,commit_sha,role,inspection_level,access_status,notes
GF-MAIN-AUDIT-BASE,BRAINBEHAVIOR/grantfounders,branch,,main,9074648033bdd5bc24f6721ee295818ba7b9acb4,canonical audit baseline,TREE_AND_SELECTED_SOURCE,ACCESSIBLE,SOURCE_VERIFIED_TARGET_CONTRACT
GF-MAIN-CURRENT,BRAINBEHAVIOR/grantfounders,branch,,main,f167e7b446bdde626b28f7f1dc9acdddfb643ed1,current main after governance PR #6,METADATA_AND_PARENT,ACCESSIBLE,governance-only child of audit baseline
GF-PR1,BRAINBEHAVIOR/grantfounders,pull_request,1,copilot/ensure-deployment-setup,280fb5a23a46526a716ee64ad338894953c146f6,deployment verification history,PR_METADATA_AND_SELECTED_DOCS,ACCESSIBLE,closed; unmerged
GF-PR2,BRAINBEHAVIOR/grantfounders,pull_request,2,copilot/implement-agency-dna-builder,e860ae5d3ae36b699fc35baf1d178f4b07127c64,agent documentation history,PR_METADATA,ACCESSIBLE,open draft; unmerged
GF-PR3,BRAINBEHAVIOR/grantfounders,pull_request,3,copilot/add-oauth-callback-handler,f598d8a93c710faa55a694663cd64dc3980a7a9d,OAuth history,PR_METADATA_AND_DECLARED_PATHS,ACCESSIBLE,open draft; unmerged
GF-PR4,BRAINBEHAVIOR/grantfounders,pull_request,4,fix-missing-env-vars,b40972eaca87ddbde13b64f9fa4dda8813d0e004,alternate demo/product tree,TREE_AND_SELECTED_SOURCE,ACCESSIBLE,open; unmerged; unsafe demo claims
GF-PR5-START,BRAINBEHAVIOR/grantfounders,pull_request,5,copilot/copilotagent-asset-forensics-manus-pack,aa4b06b08e2788685a9b572eb689ce5c96bb865c,reporting head at inspection start,PR_METADATA_AND_ALL_10_ARTIFACTS,ACCESSIBLE,branch advances with corrective commit
FRB-MAIN,BRAINBEHAVIOR/federal-readiness-bot,branch,,main,1f14bae19c71b4b642311b52cdc37262965e9ab5,historical repository baseline,METADATA_AND_TREE,ACCESSIBLE,no agent PR merged
FRB-PR1,BRAINBEHAVIOR/federal-readiness-bot,pull_request,1,copilot/improve-database-schema-integrity,f762c3c25111022752c60c12d1f3315694e88177,database kernel,TREE_AND_SELECTED_SOURCE,ACCESSIBLE,open draft; unmerged
FRB-PR2,BRAINBEHAVIOR/federal-readiness-bot,pull_request,2,copilot/add-minimal-api-endpoints,4cd1e4ed73d35b82f854ad082ffc835659ea3714,thin API,TREE_AND_SELECTED_SOURCE,ACCESSIBLE,open draft; unmerged
FRB-PR3,BRAINBEHAVIOR/federal-readiness-bot,pull_request,3,copilot/create-demo-chatbot-interface,d4d633e9d869d9ddc532760dd32e27bd9b8d0931,demo chatbot,TREE_AND_SELECTED_SOURCE,ACCESSIBLE,open draft; unmerged
FRB-PR4,BRAINBEHAVIOR/federal-readiness-bot,pull_request,4,copilot/implement-interactive-chatbot-demo,5fccab4fc1f50e06da739273881daedbb5350f04,institutional demo terminal,PR_METADATA_AND_DECLARED_ARCHITECTURE,ACCESSIBLE,open draft; unmerged
FRB-PR5,BRAINBEHAVIOR/federal-readiness-bot,pull_request,5,copilot/implement-grantfounders-os,a028fa64a6b1ecaf2096f1c2c8e6abc30d612381,seven-agent system,TREE_AND_MANDATORY_SOURCE_PATHS,ACCESSIBLE,open draft; unmerged
FRB-PR6,BRAINBEHAVIOR/federal-readiness-bot,pull_request,6,copilot/implement-foa-harvester,d54febe516a392f5e5c5773303f0f36452374b8b,FOA Harvester,TREE_AND_MANDATORY_SOURCE_PATHS,ACCESSIBLE,open draft; unmerged
FRB-PR7,BRAINBEHAVIOR/federal-readiness-bot,pull_request,7,copilot/construct-agency-dna-builder,6b4ed598c17b8d62afcbcaac54cc0a42ed18c66c,Agency DNA Builder,TREE_AND_SELECTED_SOURCE,ACCESSIBLE,open draft; unmerged
FRB-PR8,BRAINBEHAVIOR/federal-readiness-bot,pull_request,8,copilot/create-predictive-intelligence-systems,f647783c8279367b171649854a9df4c50e2c1846,Match & Forecast,TREE_AND_SELECTED_SOURCE,ACCESSIBLE,open draft; unmerged
GF-BACKEND-MAIN,BRAINBEHAVIOR/grantfounders-backend,branch,,main,9bef1e57234dd402c8263e08d6b111f734671b18,backend placeholder,FULL_TREE,ACCESSIBLE,only .gitignore and README
GF-FRONTEND-MAIN,BRAINBEHAVIOR/grantfounders-frontend,branch,,main,fe1f229f347daa20d9bd70858d6af43fb75eca1f,legacy/separate frontend,TREE_AND_SELECTED_SOURCE,ACCESSIBLE,Next 14/React 18; mock legacy route
GF-ORCH-MAIN,BRAINBEHAVIOR/gf-777ace-orchestrator,branch,,main,ca15fe13e03f198a7c8e955e707828f093b71f0c,orchestrator baseline,METADATA_AND_TREE,ACCESSIBLE,initial commit
GF-ORCH-PR1,BRAINBEHAVIOR/gf-777ace-orchestrator,pull_request,1,copilot/build-ai-orchestration-foundation,16835762044fcf3c6cbc3127fb1cc913b60e919b,orchestration contracts/skeleton,TREE_AND_SELECTED_SOURCE,ACCESSIBLE,open draft; unmerged
